Store,Address,City,State,Full Address,lat,lon
Jolly King Liquors,393 Miller Ave,Mill Valley,California,"393 Miller Ave, Mill Valley, California",37.8971657,-122.5362576
Lagunitas Grocery,534 Clarence Street,Point Richmond,California,"534 Clarence Street, Point Richmond, California",37.9277062,-122.3928561
Louie's Deli & Cafe,2656 Bridgeway,Sausalito,California,"2656 Bridgeway, Sausalito, California",37.868606,-122.501782
"Lucky - Grant Ave, Novato",1761 Grant Ave.,Novato,California,"1761 Grant Ave., Novato, California",38.108428,-122.579339
Lucky - Magnolia Ave.,570 Magnolia Ave,Larkspur,California,"570 Magnolia Ave, Larkspur, California",37.9371605,-122.5335654
Marin Beverage Outlet,855 Third St.,San Rafael,California,"855 Third St., San Rafael, California",37.9715278,-122.5257775
Marin Cheese Factory,7500 Red Hill Rd,Petaluma,California,"7500 Red Hill Rd, Petaluma, California",38.1697552,-122.6736203
Marinwood Market,155 Marinwood Ave.,San Rafael,California,"155 Marinwood Ave., San Rafael, California",38.0323868,-122.5385944
Matt & Jeff's Carwash,125 Vintage Way,Novato,California,"125 Vintage Way, Novato, California",38.0917645,-122.5567712
Mi Pueblo,330 Bellam Blvd.,San Rafael,California,"330 Bellam Blvd., San Rafael, California",37.9613983,-122.5000554
Mike's Liquor,1102 Grant Avenue,Novato,California,"1102 Grant Avenue, Novato, California",38.1078811,-122.5713242
Mill Valley Market,12 Corte Madera Ave.,Mill Valley,California,"12 Corte Madera Ave., Mill Valley, California",37.9067815,-122.5473663
Mollie Stone #1-Sausalito,100 Harbor Dr.,Sausalito,California,"100 Harbor Dr., Sausalito, California",37.8666543,-122.4995249
Mollie Stone #4-Greenbrae,270 Bon Air Shopping Center,Greenbrae,California,"270 Bon Air Shopping Center, Greenbrae, California",37.9438199,-122.5396228
Nugget - #14 Tiburon,1 Blackfield Drive,Belvedere Tiburon,California,"1 Blackfield Drive, Belvedere Tiburon, California",37.8992848,-122.5002555
Nugget - #15 Corte Madera,5627 Paradise  Drive,Corte Madera,California,"5627 Paradise  Drive, Corte Madera, California",37.9190947,-122.5078265
Nugget - #16 Novato,470 Ignacio Blvd.,Novato,California,"470 Ignacio Blvd., Novato, California",38.0674838,-122.5428977
Palace Market,11300 CA-1,Point Reyes Station,California,"11300 CA-1, Point Reyes Station, California",38.0683888,-122.8061758
Perry's-Fairfax,1916 Sir Francis Drake Blvd,Fairfax,California,"1916 Sir Francis Drake Blvd, Fairfax, California",37.9875026,-122.588682
Perry's-Novato,7380 Redwood Blvd,Novato,California,"7380 Redwood Blvd, Novato, California",38.1080405,-122.5695534
Perry's-San Rafael,909 Lincoln Ave,San Rafael,California,"909 Lincoln Ave, San Rafael, California",37.9720639,-122.5243021
Rocky's Meat & Deli,71 San Pablo Ave,San Rafael,California,"71 San Pablo Ave, San Rafael, California",37.9958686,-122.5284249
Runway Cafe,"6 Hamilton Landing, Suite 100",Novato,California,"6 Hamilton Landing, Suite 100, Novato, California",38.0578027,-122.5142131
Safeway #1723-San Anselmo,838 Sir Francis Drake Blvd.,San Anselmo,California,"838 Sir Francis Drake Blvd., San Anselmo, California",37.9807149,-122.5642294
Safeway #2318-Corte Madera,137 Corte Madera Town Center,Corte Madera,California,"137 Corte Madera Town Center, Corte Madera, California",37.9279695,-122.5177114
"Safeway #2455-Center Blvd, SA",100 Center Blvd.,San Anselmo,California,"100 Center Blvd., San Anselmo, California",37.9770427,-122.5631739
Safeway #2718-Strawberry,110 Strawberry Village,Mill Valley,California,"110 Strawberry Village, Mill Valley, California",37.8992988,-122.5148207
Safeway #2781-Mill Valley,110 Strawberry Village,Mill Valley,California,"110 Strawberry Village, Mill Valley, California",37.8992988,-122.5148207
Safeway #2828-Ignacio,5720 Nave Dr.,Novato,California,"5720 Nave Dr., Novato, California",38.062302,-122.5321069
"Safeway #653-B St., San Rafael",700 B St.,San Rafael,California,"700 B St., San Rafael, California",37.9704155,-122.5293984
Safeway #788-Mill Valley,1 Camino Alto,Mill Valley,California,"1 Camino Alto, Mill Valley, California",37.8941622,-122.5314402
Safeway #932 San Rafael,950 Las Gallinas,San Rafael,California,"950 Las Gallinas, San Rafael, California",38.0084799,-122.5483222
Safeway #979 Novato,900 Diablo Ave.,Novato,California,"900 Diablo Ave., Novato, California",38.1037808,-122.5716519
"Safeway #979-Diablo Ave,Nov.",900 Diablo Ave.,Novato,California,"900 Diablo Ave., Novato, California",38.1037808,-122.5716519
Santa Venetia Super,71 San Pablo Ave,San Rafael,California,"71 San Pablo Ave, San Rafael, California",37.9958686,-122.5284249
