sold_to_name,product_line,quantity,gross_profit,territory,date
Marinwood Market,PF,222.0,130.09,MR,2017-01-01
Smart & Final - S.F.,PF,2.0,550.624,SF,2017-01-01
Marinwood Market,DCD,6.0,6.5,MR,2017-01-01
Marinwood Market,DCD,36.0,16.56,MR,2017-01-01
"Safeway #785-LaPlaya, S.F.",PF,7.0,1157.6299999999999,SF,2017-01-01
Marinwood Market,DCD,32.0,20.8,MR,2017-01-01
Santa Venetia Super,DCD,495.0,260.12,MR,2017-01-01
Andy's Local Mkt - San Rafael,DCD,781.0,343.56,MR,2017-01-01
Molsberry Market,PF,4.0,149.244,SN,2017-01-01
Mollie Stone #4-Greenbrae,DCD,292.0,124.53,MR,2017-01-01
Raley's-Santa Rosa,PF,3.0,764.1260000000001,SN,2017-01-01
Scotty's Market,DCD,8.0,5.2,MR,2017-01-01
Scotty's Market,DCD,724.0,523.6,MR,2017-01-01
Raley's - Petaluma,PF,1.0,474.394,SN,2017-01-01
Perry's-Inverness,PF,112.0,71.47,MR,2017-01-01
Perry's-Inverness,DCD,16.0,11.28,MR,2017-01-01
Scotty's Market,DCD,1.0,1.81,MR,2017-01-01
Perry's-Inverness,DCD,9.0,15.09,MR,2017-01-01
Raley's-Rohnert Park,PF,3.0,479.408,SN,2017-01-01
Good Earth Natural Foods-Tam,DCD,264.0,687.38,MR,2017-01-01
Andy's Local Mkt - San Rafael,PF,218.0,115.17,MR,2017-01-01
Andy's Local Mkt - San Rafael,DCD,65.0,39.29,MR,2017-01-01
Oliver's Market-Montecito Blvd,PF,6.0,474.208,SN,2017-01-01
Andy's Local Mkt - San Rafael,DCD,27.0,48.87,MR,2017-01-01
Perry's-Inverness,DCD,713.0,286.3,MR,2017-01-01
Scotty's Market,DCD,120.0,43.29,MR,2017-01-01
Bolinas Super Market,DCD,369.0,207.27,MR,2017-01-01
Bolinas Super Market,DCD,15.0,10.35,MR,2017-01-01
Mollie Stone #4-Greenbrae,DCD,18.0,31.38,MR,2017-01-01
Mollie Stone #4-Greenbrae,DCD,24.0,15.6,MR,2017-01-01
Petaluma Market,PF,4.0,240.68400000000003,SN,2017-01-01
Mollie Stone #4-Greenbrae,DCD,48.0,27.36,MR,2017-01-01
Mollie Stone #4-Greenbrae,DCD,409.0,523.02,MR,2017-01-01
Fircrest Market,PF,4.0,166.9,SN,2017-01-01
Good Earth Natural Foods,DCD,264.0,687.38,MR,2017-01-01
Harvest Mkt/Novato Foods,DCD,12.0,13.0,MR,2017-01-01
Harvest Mkt/Novato Foods,DCD,430.0,180.76,MR,2017-01-01
Big John's Market,PF,5.0,190.02,SN,2017-01-01
Harvest Mkt/Novato Foods,DCD,18.0,31.38,MR,2017-01-01
Harvest Mkt/Novato Foods,DCD,24.0,15.6,MR,2017-01-01
Harvest Mkt/Novato Foods,DCD,571.0,521.52,MR,2017-01-01
Sonoma Market/Nugget #17,PF,4.0,197.89200000000002,SN,2017-01-01
Bolinas Super Market,PF,41.0,24.59,MR,2017-01-01
Mollie Stone #4-Greenbrae,DCD,12.0,19.9,MR,2017-01-01
The Tides Bait & Tackle,DCD,12.0,8.74,MN,2017-01-01
SRJC Bookstore,DCD,300.0,148.43,SN,2017-01-01
Draeger's-Menlo Park,DCD,287.0,199.34,PN,2017-01-01
Grove Street Mkt.,DCD,48.0,31.85,SF,2017-01-01
Grove Street Mkt.,DCD,74.0,57.01,SF,2017-01-01
Cindy,PF,25.0,24.27,SF,2017-01-01
Broadway Mkt.,PF,81.0,49.37,SN,2017-01-01
Cindy,DCD,65.0,34.31,SF,2017-01-01
3rd Ave Food Market,PF,90.0,54.1,SF,2017-01-01
Grove Street Mkt.,PF,84.0,46.34,SF,2017-01-01
3rd Ave Food Market,DCD,303.0,148.34,SF,2017-01-01
Balboa Bi Rite,PF,34.0,22.42,SF,2017-01-01
Andy's Produce - Sebastopol,DCD,481.0,518.72,SN,2017-01-01
Balboa Bi Rite,DCD,90.0,43.06,SF,2017-01-01
Sunshine - Haight St.,PF,78.0,50.45,SF,2017-01-01
Sunshine - Haight St.,DCD,6.0,4.23,SF,2017-01-01
Sunshine - Haight St.,DCD,135.0,65.61,SF,2017-01-01
Marina Meats,DCD,66.0,59.46,SF,2017-01-01
Richmond Market,PF,112.0,66.49,SF,2017-01-01
17th & Cole Market,DCD,148.0,65.55,SF,2017-01-01
17th & Cole Market,PF,15.0,9.52,SF,2017-01-01
M & K Market,PF,42.0,27.05,SF,2017-01-01
M & K Market,DCD,54.0,17.71,SF,2017-01-01
Oceanview Market,PF,41.0,25.42,SF,2017-01-01
Broadway Mkt.,DCD,40.0,24.7,SN,2017-01-01
Oceanview Market,DCD,86.0,28.83,SF,2017-01-01
Madera Liquor,PF,43.0,28.1,SF,2017-01-01
17th & Cole Market,DCD,12.0,6.99,SF,2017-01-01
Madera Liquor,DCD,8.0,6.16,SF,2017-01-01
Tiger's Liquor,PF,108.0,65.33,SF,2017-01-01
Tiger's Liquor,DCD,26.0,13.74,SF,2017-01-01
Tiger's Liquor,DCD,30.0,16.4,SF,2017-01-01
Amal's Deli,PF,178.0,106.03,SF,2017-01-01
Amal's Deli,DCD,48.0,24.78,SF,2017-01-01
Amal's Deli,DCD,6.0,4.02,SF,2017-01-01
Madera Liquor,DCD,74.0,46.86,SF,2017-01-01
Richmond Market,DCD,34.0,19.37,SF,2017-01-01
Richmond Market,DCD,9.0,15.09,SF,2017-01-01
Richmond Market,DCD,63.0,63.98,SF,2017-01-01
S&A Market,DCD,170.0,83.8,SF,2017-01-01
Better Foods,PF,113.0,71.12,SF,2017-01-01
Better Foods,DCD,12.0,5.34,SF,2017-01-01
Oliver's- Windsor,DCD,833.0,633.83,SN,2017-01-01
Better Foods,DCD,168.0,53.96,SF,2017-01-01
25th & Clement Produce,PF,119.0,74.14,SF,2017-01-01
S&A Market,DCD,4.0,2.74,SF,2017-01-01
25th & Clement Produce,DCD,6.0,7.26,SF,2017-01-01
25th & Clement Produce,DCD,192.0,176.02,SF,2017-01-01
Oliver's- Windsor,DCD,103.0,28.55,SN,2017-01-01
Marina Super,DCD,90.0,85.5,SF,2017-01-01
Harvest Urban Mkt - Market St.,DCD,78.0,79.19,SF,2017-01-01
Ashbury Market,PF,88.0,56.63,SF,2017-01-01
Ashbury Market,DCD,6.0,2.76,SF,2017-01-01
25th & Clement Produce,DCD,30.0,16.7,SF,2017-01-01
S&A Market,PF,106.0,67.68,SF,2017-01-01
Chloe's,DCD,72.0,85.32,SF,2017-01-01
Andy's Produce - Sebastopol,PF,84.0,52.74,SN,2017-01-01
Parkview,PF,94.0,59.22,SF,2017-01-01
Andy's Produce - Sebastopol,DCD,36.0,63.96,SN,2017-01-01
Parkview,DCD,6.0,2.76,SF,2017-01-01
Parkview,DCD,72.0,49.27,SF,2017-01-01
Tim's,PF,102.0,64.47,SF,2017-01-01
Tim's,DCD,32.0,26.12,SF,2017-01-01
Tim's,DCD,92.0,58.33,SF,2017-01-01
Andy's Produce - Sebastopol,DCD,6.0,4.11,SN,2017-01-01
Jump Start Market,DCD,8.0,8.67,SF,2017-01-01
Jump Start Market,DCD,12.0,10.14,SF,2017-01-01
Andy's Produce - Sebastopol,DCD,28.0,33.79,SN,2017-01-01
Jump Start Market,DCD,78.0,66.8,SF,2017-01-01
Park Presidio Liquors,PF,68.0,41.07,SF,2017-01-01
Park Presidio Liquors,DCD,12.0,6.99,SF,2017-01-01
Park Presidio Liquors,DCD,279.0,136.13,SF,2017-01-01
Drink Liquor/Jong & Chung,DCD,17.0,8.95,SF,2017-01-01
Drink Liquor/Jong & Chung,PF,103.0,58.99,SF,2017-01-01
Hayes Market,DCD,125.0,110.61,SF,2017-01-01
Hayes Market,DCD,55.0,35.44,SF,2017-01-01
Haight & Filmore Foods,DCD,8.0,3.68,SF,2017-01-01
KD's Grog & Grocery,PF,80.0,52.98,SF,2017-01-01
KD's Grog & Grocery,DCD,14.0,7.34,SF,2017-01-01
KD's Grog & Grocery,DCD,12.0,8.44,SF,2017-01-01
Superette Market,PF,119.0,73.34,SF,2017-01-01
Save More Meats,DCD,36.0,39.0,SF,2017-01-01
Haight & Filmore Foods,PF,40.0,26.24,SF,2017-01-01
Save More Meats,DCD,42.0,44.96,SF,2017-01-01
Oak & Scott (Oak Fair Mkt),DCD,69.0,53.88,SF,2017-01-01
Food 24 Hr. Mkt.-Fulton&Divis.,PF,88.0,54.45,SF,2017-01-01
Food 24 Hr. Mkt.-Fulton&Divis.,DCD,48.0,10.08,SF,2017-01-01
Oliver's Market-Montecito Blvd,DCD,18.0,26.4,SN,2017-01-01
Georges Market,PF,84.0,52.41,SF,2017-01-01
Georges Market,DCD,18.0,8.28,SF,2017-01-01
Oak & Scott (Oak Fair Mkt),PF,104.0,65.28,SF,2017-01-01
Molsberry Market,DCD,1823.0,909.46,SN,2017-01-01
Molsberry Market,DCD,6.0,5.7,SN,2017-01-01
Oliver's Market-Montecito Blvd,DCD,564.0,220.46,SN,2017-01-01
Oliver's-Stony Point Rd.,DCD,797.0,284.17,SN,2017-01-01
Oliver's-Stony Point Rd.,DCD,36.0,46.66,SN,2017-01-01
Oliver's-Stony Point Rd.,DCD,18.0,25.08,SN,2017-01-01
Oliver's-Stony Point Rd.,DCD,80.0,20.0,SN,2017-01-01
Oliver's Market-Montecito Blvd,DCD,411.0,477.03,SN,2017-01-01
Oliver's-Stony Point Rd.,DCD,770.0,843.35,SN,2017-01-01
Oliver's Market-Cotati,DCD,30.0,43.61,SN,2017-01-01
Oliver's Market-Cotati,DCD,1041.0,430.91,SN,2017-01-01
